Date,Store,Dept,Size,Week,Month,Quarter,SuperBowl,LaborDay,Thanksgiving,Christmas,Type_A,Type_B,Type_C
2012-11-04,1,1,151315,44,11,4,0,0,0,0,1,0,0
2012-11-11,1,1,151315,45,11,4,0,0,0,0,1,0,0
2012-11-18,1,1,151315,46,11,4,0,0,0,0,1,0,0
2012-11-25,1,1,151315,47,11,4,0,0,1,0,1,0,0
2012-12-02,1,1,151315,48,12,4,0,0,0,0,1,0,0
2012-12-09,1,1,151315,49,12,4,0,0,0,0,1,0,0
2012-12-16,1,1,151315,50,12,4,0,0,0,0,1,0,0
2012-12-23,1,1,151315,51,12,4,0,0,0,0,1,0,0
2012-12-30,1,1,151315,52,12,4,0,0,0,1,1,0,0
2013-01-06,1,1,151315,1,1,1,0,0,0,0,1,0,0
2013-01-13,1,1,151315,2,1,1,0,0,0,0,1,0,0
2013-01-20,1,1,151315,3,1,1,0,0,0,0,1,0,0
2013-01-27,1,1,151315,4,1,1,0,0,0,0,1,0,0
2013-02-03,1,1,151315,5,2,1,0,0,0,0,1,0,0
2013-02-10,1,1,151315,6,2,1,1,0,0,0,1,0,0
2013-02-17,1,1,151315,7,2,1,0,0,0,0,1,0,0
2013-02-24,1,1,151315,8,2,1,0,0,0,0,1,0,0
2012-11-04,1,2,151315,44,11,4,0,0,0,0,1,0,0
2012-11-11,1,2,151315,45,11,4,0,0,0,0,1,0,0
2012-11-18,1,2,151315,46,11,4,0,0,0,0,1,0,0
2012-11-25,1,2,151315,47,11,4,0,0,1,0,1,0,0
2012-12-02,1,2,151315,48,12,4,0,0,0,0,1,0,0
2012-12-09,1,2,151315,49,12,4,0,0,0,0,1,0,0
2012-12-16,1,2,151315,50,12,4,0,0,0,0,1,0,0
2012-12-23,1,2,151315,51,12,4,0,0,0,0,1,0,0
2012-12-30,1,2,151315,52,12,4,0,0,0,1,1,0,0
2013-01-06,1,2,151315,1,1,1,0,0,0,0,1,0,0
2013-01-13,1,2,151315,2,1,1,0,0,0,0,1,0,0
2013-01-20,1,2,151315,3,1,1,0,0,0,0,1,0,0
2013-01-27,1,2,151315,4,1,1,0,0,0,0,1,0,0
2013-02-03,1,2,151315,5,2,1,0,0,0,0,1,0,0
2013-02-10,1,2,151315,6,2,1,1,0,0,0,1,0,0
2013-02-17,1,2,151315,7,2,1,0,0,0,0,1,0,0
2013-02-24,1,2,151315,8,2,1,0,0,0,0,1,0,0
2012-11-04,1,3,151315,44,11,4,0,0,0,0,1,0,0
2012-11-11,1,3,151315,45,11,4,0,0,0,0,1,0,0
2012-11-18,1,3,151315,46,11,4,0,0,0,0,1,0,0
2012-11-25,1,3,151315,47,11,4,0,0,1,0,1,0,0
2012-12-02,1,3,151315,48,12,4,0,0,0,0,1,0,0
2012-12-09,1,3,151315,49,12,4,0,0,0,0,1,0,0
2012-12-16,1,3,151315,50,12,4,0,0,0,0,1,0,0
2012-12-23,1,3,151315,51,12,4,0,0,0,0,1,0,0
2012-12-30,1,3,151315,52,12,4,0,0,0,1,1,0,0
